InvoiceDate,date_key,year,month,day,weekday
2009-12-01 07:45:00,20091201,2009,12,1,Tuesday
2009-12-01 07:46:00,20091201,2009,12,1,Tuesday
2009-12-01 09:06:00,20091201,2009,12,1,Tuesday
2009-12-01 09:08:00,20091201,2009,12,1,Tuesday
2009-12-01 09:24:00,20091201,2009,12,1,Tuesday
2009-12-01 09:28:00,20091201,2009,12,1,Tuesday
2009-12-01 09:43:00,20091201,2009,12,1,Tuesday
2009-12-01 09:44:00,20091201,2009,12,1,Tuesday
2009-12-01 09:46:00,20091201,2009,12,1,Tuesday
2009-12-01 09:50:00,20091201,2009,12,1,Tuesday
2009-12-01 09:55:00,20091201,2009,12,1,Tuesday
2009-12-01 09:57:00,20091201,2009,12,1,Tuesday
2009-12-01 10:06:00,20091201,2009,12,1,Tuesday
2009-12-01 10:10:00,20091201,2009,12,1,Tuesday
2009-12-01 10:18:00,20091201,2009,12,1,Tuesday
2009-12-01 10:36:00,20091201,2009,12,1,Tuesday
2009-12-01 10:46:00,20091201,2009,12,1,Tuesday
2009-12-01 10:49:00,20091201,2009,12,1,Tuesday
2009-12-01 10:52:00,20091201,2009,12,1,Tuesday
2009-12-01 10:59:00,20091201,2009,12,1,Tuesday
2009-12-01 11:17:00,20091201,2009,12,1,Tuesday
2009-12-01 11:21:00,20091201,2009,12,1,Tuesday
2009-12-01 11:34:00,20091201,2009,12,1,Tuesday
2009-12-01 11:37:00,20091201,2009,12,1,Tuesday
2009-12-01 11:41:00,20091201,2009,12,1,Tuesday
2009-12-01 11:45:00,20091201,2009,12,1,Tuesday
2009-12-01 11:46:00,20091201,2009,12,1,Tuesday
2009-12-01 11:50:00,20091201,2009,12,1,Tuesday
2009-12-01 11:51:00,20091201,2009,12,1,Tuesday
2009-12-01 11:57:00,20091201,2009,12,1,Tuesday
2009-12-01 11:58:00,20091201,2009,12,1,Tuesday
2009-12-01 12:02:00,20091201,2009,12,1,Tuesday
2009-12-01 12:13:00,20091201,2009,12,1,Tuesday
2009-12-01 12:14:00,20091201,2009,12,1,Tuesday
2009-12-01 12:18:00,20091201,2009,12,1,Tuesday
2009-12-01 12:19:00,20091201,2009,12,1,Tuesday
2009-12-01 12:20:00,20091201,2009,12,1,Tuesday
2009-12-01 12:22:00,20091201,2009,12,1,Tuesday
