Customer ID,Country,customer_key
13085,United Kingdom,1
13078,United Kingdom,2
15362,United Kingdom,3
18102,United Kingdom,4
12682,France,5
18087,United Kingdom,6
13635,United Kingdom,7
14110,United Kingdom,8
12636,USA,9
17519,United Kingdom,10
13758,United Kingdom,11
12362,Belgium,12
15413,United Kingdom,13
16321,Australia,14
16167,United Kingdom,15
17865,United Kingdom,16
17592,United Kingdom,17
13767,United Kingdom,18
17238,United Kingdom,19
15712,United Kingdom,20
15311,United Kingdom,21
16329,United Kingdom,22
17700,United Kingdom,23
14911,EIRE,24
15998,United Kingdom,25
12931,United Kingdom,26
12533,Germany,27
17984,United Kingdom,28
14871,United Kingdom,29
13394,United Kingdom,30
16011,United Kingdom,31
16393,United Kingdom,32
14040,United Kingdom,33
12913,United Kingdom,34
15061,United Kingdom,35
14341,United Kingdom,36
17804,United Kingdom,37
14156,EIRE,38
13599,United Kingdom,39
17063,United Kingdom,40
15719,United Kingdom,41
12490,France,42
15793,United Kingdom,43
17056,United Kingdom,44
13526,United Kingdom,45
14654,United Kingdom,46
17998,United Kingdom,47
17742,United Kingdom,48
15326,United Kingdom,49
14478,United Kingdom,50
15967,United Kingdom,51
17611,United Kingdom,52
15051,United Kingdom,53
13097,United Kingdom,54
13590,United Kingdom,55
15984,United Kingdom,56
16887,United Kingdom,57
12921,United Kingdom,58
14543,United Kingdom,59
15945,United Kingdom,60
18037,United Kingdom,61
15662,United Kingdom,62
15380,United Kingdom,63
13110,United Kingdom,64
12836,United Kingdom,65
15005,United Kingdom,66
16620,United Kingdom,67
12758,Portugal,68
17961,United Kingdom,69
15601,United Kingdom,70
13585,United Kingdom,71
13442,United Kingdom,72
13381,United Kingdom,73
16763,United Kingdom,74
17243,United Kingdom,75
14865,United Kingdom,76
17345,United Kingdom,77
13819,United Kingdom,78
15808,United Kingdom,79
17191,United Kingdom,80
13748,United Kingdom,81
15265,United Kingdom,82
15750,United Kingdom,83
17428,United Kingdom,84
15485,United Kingdom,85
17246,United Kingdom,86
14061,United Kingdom,87
14108,United Kingdom,88
13648,United Kingdom,89
16563,United Kingdom,90
16701,United Kingdom,91
12842,United Kingdom,92
14302,United Kingdom,93
14135,United Kingdom,94
14831,United Kingdom,95
15602,United Kingdom,96
13777,United Kingdom,97
14000,United Kingdom,98
16823,United Kingdom,99
16163,United Kingdom,100
17193,United Kingdom,101
15759,United Kingdom,102
16131,United Kingdom,103
14560,United Kingdom,104
17087,United Kingdom,105
14894,United Kingdom,106
16202,United Kingdom,107
16700,United Kingdom,108
17511,United Kingdom,109
14299,United Kingdom,110
17949,United Kingdom,111
14799,United Kingdom,112
16550,United Kingdom,113
12980,United Kingdom,114
14425,United Kingdom,115
15353,United Kingdom,116
17818,United Kingdom,117
13654,United Kingdom,118
17189,United Kingdom,119
13269,United Kingdom,120
14653,United Kingdom,121
17019,United Kingdom,122
15542,United Kingdom,123
13564,United Kingdom,124
16467,United Kingdom,125
15833,United Kingdom,126
14527,United Kingdom,127
17476,United Kingdom,128
15287,United Kingdom,129
14440,United Kingdom,130
15680,United Kingdom,131
15581,United Kingdom,132
13740,United Kingdom,133
17768,United Kingdom,134
12948,United Kingdom,135
14667,United Kingdom,136
17377,United Kingdom,137
14467,United Kingdom,138
13457,United Kingdom,139
18108,United Kingdom,140
16210,United Kingdom,141
14669,United Kingdom,142
17909,United Kingdom,143
16086,United Kingdom,144
16711,United Kingdom,145
14739,United Kingdom,146
16233,United Kingdom,147
14204,United Kingdom,148
17606,United Kingdom,149
16797,United Kingdom,150
16126,United Kingdom,151
17867,United Kingdom,152
17412,United Kingdom,153
16525,United Kingdom,154
13623,United Kingdom,155
12435,Denmark,156
14549,United Kingdom,157
14106,United Kingdom,158
14980,United Kingdom,159
14396,United Kingdom,160
14122,United Kingdom,161
16987,United Kingdom,162
17809,United Kingdom,163
15917,United Kingdom,164
14987,United Kingdom,165
14080,United Kingdom,166
16200,United Kingdom,167
15794,United Kingdom,168
15523,United Kingdom,169
15615,United Kingdom,170
18001,United Kingdom,171
17841,United Kingdom,172
13089,United Kingdom,173
15989,United Kingdom,174
17660,United Kingdom,175
13313,United Kingdom,176
12437,France,177
14841,United Kingdom,178
14646,Netherlands,179
15482,United Kingdom,180
16156,United Kingdom,181
17716,United Kingdom,182
12779,Poland,183
13611,United Kingdom,184
15255,United Kingdom,185
14771,United Kingdom,186
14838,United Kingdom,187
13979,United Kingdom,188
13800,United Kingdom,189
14483,United Kingdom,190
14915,United Kingdom,191
13753,United Kingdom,192
16301,United Kingdom,193
13931,United Kingdom,194
17035,United Kingdom,195
15194,United Kingdom,196
14347,United Kingdom,197
12934,United Kingdom,198
15291,United Kingdom,199
17209,United Kingdom,200
15658,United Kingdom,201
17314,United Kingdom,202
17155,United Kingdom,203
15965,United Kingdom,204
17322,United Kingdom,205
16159,United Kingdom,206
14051,United Kingdom,207
13993,United Kingdom,208
17411,United Kingdom,209
15768,United Kingdom,210
12835,United Kingdom,211
15179,United Kingdom,212
17069,United Kingdom,213
16918,United Kingdom,214
15466,United Kingdom,215
14159,United Kingdom,216
17940,United Kingdom,217
17581,United Kingdom,218
16168,United Kingdom,219
14606,United Kingdom,220
17287,United Kingdom,221
17913,United Kingdom,222
13416,United Kingdom,223
16779,United Kingdom,224
13895,United Kingdom,225
14057,United Kingdom,226
17017,United Kingdom,227
13208,United Kingdom,228
17465,United Kingdom,229
13468,United Kingdom,230
13485,United Kingdom,231
