Customer ID,TotalPrice
12346,372.86
12347,1323.32
12348,222.16
12349,2671.14
12351,300.93
12352,343.8
12353,317.76
12355,488.21
12356,3560.3
12357,12079.99
12358,2719.01
12359,2563.36
12360,1590.83
12361,321.35
12362,130.0
12366,500.24
12368,917.7
12369,1791.1499999999999
12370,774.62
12371,2179.42
12373,763.05
12374,2246.29
12376,503.15
12377,1798.2
12378,1407.7
12379,767.98
12380,6951.49
12385,1938.4
12386,258.90000000000003
12387,143.94
12388,1120.45
12389,1433.33
12391,2285.18
12392,234.75
12393,816.85
12395,2048.64
12396,931.43
12399,853.65
12400,205.25
12402,1031.3
12403,591.6600000000001
12404,63.24
12406,2975.06
12408,1452.22
12409,12346.62
12410,320.38
12411,346.9
12412,1370.05
12413,241.35
12414,390.0
12415,19543.84
12416,202.56
12417,3148.31
12418,1352.62
12419,503.01
12421,291.56
12422,4428.24
12423,763.08
12424,1579.07
12425,964.21
12426,762.48
12427,303.5
12429,3735.5099999999998
12431,4370.52
12433,7205.39
12434,297.29
12435,6096.04
12437,7731.99
12439,1142.88
12440,859.2
12441,173.55
12443,485.31
12445,301.58
12449,768.6
12450,490.32
12451,3634.36
12454,13151.44
12455,3413.09
12457,632.6800000000001
12458,830.09
12459,454.36
12460,326.65
12466,56.73
12467,132.8
12468,2941.2
12469,3070.54
12470,211.95
12471,20129.54
12472,11308.48
12474,5048.66
12475,426.26
12476,7267.49
12477,7056.63
12480,2183.22
12481,6765.07
12482,23691.4
12483,2612.2
12484,1826.78
12485,708.1
12486,1037.28
12487,285.3
12490,4405.71
12492,452.0
12494,626.77
12495,357.4
12496,45.34
12497,5205.4
12499,393.72
12500,1697.39
12503,1126.0
12504,297.0
12505,955.2
12507,539.25
12510,4195.45
12511,3084.02
12514,580.08
12516,1336.56
12519,385.7
12523,2562.58
12524,6640.39
12525,973.73
12527,386.8
12529,316.48
12530,2096.98
12531,1807.98
12533,1367.89
12537,732.9399999999999
12538,276.5
12539,5646.4
12540,8854.25
12542,481.88
12543,980.25
12547,175.78
12549,1575.6799999999998
12553,916.47
12554,468.5
12555,129.23
12557,6725.18
12562,1185.18
12563,249.24
12567,4308.58
12568,70.0
12570,77.52
12573,556.87
12575,622.82
12576,826.89
12577,990.5
12578,1847.94
12580,637.2
12582,1469.04
12583,7166.0599999999995
12586,1865.73
12588,743.88
12589,4048.98
12591,886.1
12592,2145.06
12594,1751.89
12595,299.02
12598,1511.01
12599,1264.14
12600,2444.88
12601,104.2
12605,1232.95
12606,21.0
12608,415.79
12609,2309.0099999999998
12613,3472.99
12615,3449.79
12616,417.8
12619,140.14
12621,11086.14
12623,3442.74
12625,2481.06
12629,1558.22
12631,2841.07
12632,804.88
12633,3514.18
12634,490.0
12635,1241.23
12636,141.0
12637,2280.91
12638,249.8
12639,826.27
12643,4960.18
12644,1440.58
12645,1764.12
12647,14201.53
12648,793.95
12649,1671.14
12651,263.75
12652,97.05
12653,1950.98
12655,261.35
12656,2356.66
12661,162.0
12662,3138.24
12663,239.4
12664,1188.16
12665,250.6
12666,1248.42
12668,7575.88
12670,764.24
12671,2622.48
12672,211.15
12673,619.5
12675,957.25
12676,1511.7
12677,395.1
12678,16652.72
12681,17080.74
12682,11745.69
12683,4220.21
12686,89.14
12687,2138.91
12691,134.6
12692,110.95
12693,847.11
12694,973.68
12695,825.02
12696,851.91
12698,339.75
12699,638.11
12701,1648.7
12703,722.98
12705,4893.81
12708,2601.19
12709,21107.94
12711,1339.05
12712,2797.53
12714,9384.85
12717,277.93
12720,2478.94
12721,1356.95
12724,1286.11
12725,2266.7599999999998
12726,1405.5
12727,1698.83
12728,233.84
12730,829.25
12731,6879.8
12733,2040.92
12734,529.25
12737,3710.5
12738,155.35
12739,1713.69
12741,406.07
12742,1201.52
12744,4037.77
12745,925.41
12746,254.55
12747,5061.03
12748,22457.9
12749,2806.48
12751,268.27
12755,5218.71
12758,7111.65
12759,3489.2999999999997
12760,347.8
12761,782.95
12763,320.08
12765,1404.58
12766,3078.65
12767,949.8199999999999
12768,168.69
12770,1895.0
12771,282.3
12773,124.25
12774,98.7
12775,300.08
12776,55.5
12777,519.45
12778,953.4499999999999
12779,2740.91
12780,337.4
12782,2287.32
12784,1230.33
12785,788.45
12786,728.5
12787,398.52
12788,444.9
12789,181.5
12790,266.93
12791,863.51
12792,426.46999999999997
12793,471.85
12796,381.0
12797,552.08
12798,1533.89
12799,219.35
12800,584.25
12801,1071.82
12802,1988.84
12803,1092.81
12804,325.37
12805,1434.95
12806,2878.96
12807,330.35
12808,422.45
12809,1266.63
12810,534.99
12811,519.05
12813,1687.8
12817,524.94
12819,540.52
12820,1747.18
12821,128.07999999999998
12823,4742.0
12825,518.63
12826,1481.03
12829,92.3
12831,236.06
12835,5996.83
12836,3949.37
12837,528.56
12838,2694.75
12839,4480.31
12840,1315.2
12841,3472.61
12842,799.0
12843,4881.1
12844,322.64
12846,15.58
12847,765.36
12848,208.0
12849,2032.18
12850,330.0
12851,148.95
12853,1950.4
12854,1654.72
12855,612.84
12857,2581.6
12858,147.27
12859,575.1
12860,54.22
12861,68.25
12862,984.62
12863,2271.35
12864,152.45
12865,1755.24
12866,668.23
12867,3819.92
12868,640.0
12869,337.66999999999996
12870,1676.95
12871,363.38
12872,3062.52
12873,1653.3
12874,948.42
12875,1013.76
12876,1863.77
12877,1406.37
12880,640.13
12887,222.4
12889,385.46
12890,329.3
12891,509.5
12892,263.38
12894,157.35
12897,297.75
12898,296.21
12899,366.4
12900,340.33
12903,833.53
12905,1018.42
12907,508.91
12908,1026.0
12909,924.52
12910,2721.48
12911,1651.72
12913,4217.23
12914,223.98
12915,811.1
12916,1534.78
12917,3765.2
12918,10953.5
12920,323.86
12921,19333.95
12923,597.6
12924,1535.7
12925,35.28
12926,1523.97
12927,197.31
12928,2242.19
12931,50291.38
12932,1698.56
12933,1029.1
12934,181.65
12935,2083.16
12937,1593.34
12939,13683.0
12941,377.49
12942,258.75
12943,496.5
12945,437.16
12946,324.45
12947,304.03999999999996
12948,252.48
12949,11359.48
12951,2149.65
12953,498.96
12954,162.45
12956,413.82
12957,4689.43
12958,467.34000000000003
12959,150.95
12960,1322.07
12961,211.99
12963,1744.96
12964,132.24
12967,2646.02
12969,122.45
12970,1048.13
12971,4782.88
12972,1161.2
12973,385.55
12974,264.15
12975,2100.09
12976,2417.7799999999997
12977,474.64
12978,2502.82
12979,517.7
12980,8870.880000000001
12982,2354.27
12983,490.08
12986,2729.84
12987,753.51
12989,6627.64
12990,546.0
12991,261.06
12992,93.35
12993,844.87
12996,355.5
12997,884.02
12998,920.0799999999999
13000,497.65
13001,14256.68
13002,293.18
13004,5994.94
13005,485.97999999999996
13007,175.25
13008,382.66
13009,234.0
13010,330.12
13011,50.55
13012,1310.99
13013,7814.83
13014,1914.8
13015,3240.14
13018,2485.46
13019,1229.95
13020,618.96
13021,2270.86
13022,65.3
13023,759.13
13024,555.87
13025,323.39
13026,757.72
13027,10327.2
13029,679.8
13030,402.36
13031,3292.84
13032,1805.78
13033,30.0
13034,279.90999999999997
13035,442.32
13036,307.1
13037,3033.88
13039,1010.73
13041,799.13
13042,1488.59
13044,4287.58
13045,503.64
13046,319.94
13047,5557.62
13048,2229.72
13049,751.56
13050,6477.67
13051,155.8
13052,2771.18
13053,127.65
13055,1106.7
13056,209.48
13057,709.59
13059,2108.37
13063,188.4
13064,561.25
13065,1055.05
13067,393.05
13069,5185.51
13070,522.9
13071,129.22
13073,418.08
13074,1378.74
13076,135.4
13077,2326.35
13078,16904.51
13079,199.08
13080,222.65
13081,30867.77
13082,3722.12
13083,91.67999999999999
13084,122.39999999999999
13085,2017.2
13086,439.33
13087,313.64
13088,236.11
13089,57885.45
13090,5189.32
13091,1976.0
13092,1662.45
13093,47111.18
13094,505.79999999999995
13096,419.7
13097,7320.88
13101,594.21
13102,5272.83
13103,465.7
13104,610.62
13105,72.0
13106,526.96
13107,3721.45
13108,748.46
13109,347.49
13110,1468.8
13111,321.88000000000005
13112,20.599999999999998
13113,6357.08
13114,234.38
13115,3199.92
13117,1658.9
13118,1217.6
13119,134.9
13123,506.75
13124,885.33
13125,148.62
13126,1898.61
13128,263.5
13129,233.25
13131,2240.47
13133,90.65
13134,681.65
13135,275.45
13136,3666.95
13137,3983.65
13138,504.85
13139,3138.04
13140,790.71
13141,5267.33
13143,405.1
13144,24.4
13145,805.0
13148,4814.56
13150,449.96999999999997
13151,1207.34
13152,2146.38
13154,1624.84
13155,778.42
13156,1586.54
13157,3946.14
13158,307.12
13161,359.38
13162,7587.2
13163,17.65
13164,372.2
13165,429.68
13166,458.73
13167,333.82
13168,541.14
13169,127.2
13172,69.6
13173,2212.11
13174,6621.6
13175,831.45
13177,229.75
13178,8333.72
13179,572.31
13180,86.1
13181,359.69
13183,3078.4
13187,105.34
13190,570.66
13191,164.69
13192,1646.6399999999999
13194,412.08
13195,136.73
13196,1271.06
13197,373.01
13198,1572.99
13199,6615.77
13201,1233.06
13202,1580.3
13203,1778.79
13204,966.66
13205,2803.2
13206,8308.19
13207,285.6
13208,758.65
13209,2617.9
13211,1523.35
13213,2330.94
13214,3264.23
13215,81.6
13217,132.5
13219,76.23
13220,516.8
13222,88.5
13223,805.92
13225,9796.23
13226,204.25
13230,3457.83
13233,571.34
13234,346.5
13237,643.0
13238,305.9
13239,1265.1299999999999
13240,1036.21
13241,112.53
13242,429.0
13243,635.26
13245,558.72
13246,1390.23
13249,897.52
13250,253.09
13251,252.68
13252,399.3
13253,1920.71
13254,51.41
13255,504.95
13257,149.75
13258,336.59999999999997
13259,1119.36
13262,373.15999999999997
13263,1239.27
13264,722.56
13266,2300.78
13267,5236.77
13269,3545.47
13270,590.0
